17/11/2021 13:43:25,Tensao: 118.48V, Corrente (S1): 0.24A, Corrente (S2): 0.00A, Potencia: 28.53W, Consumo (acumulado): 0.03kWh
17/11/2021 13:43:31,Tensao: 118.20V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:43:36,Tensao: 117.02V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:43:42,Tensao: 119.07V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:43:48,Tensao: 118.02V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:43:53,Tensao: 120.10V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:43:59,Tensao: 117.54V, Corrente (S1): 0.21A, Corrente (S2): 0.00A, Potencia: 24.61W, Consumo (acumulado): 0.03kWh
17/11/2021 13:44:05,Tensao: 118.00V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:44:10,Tensao: 123.06V, Corrente (S1): 0.28A, Corrente (S2): 0.00A, Potencia: 34.14W, Consumo (acumulado): 0.03kWh
17/11/2021 13:44:16,Tensao: 117.37V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:44:21,Tensao: 117.21V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:44:27,Tensao: 117.06V, Corrente (S1): 0.21A, Corrente (S2): 0.00A, Potencia: 24.48W, Consumo (acumulado): 0.03kWh
17/11/2021 13:44:32,Tensao: 116.62V, Corrente (S1): 0.24A, Corrente (S2): 0.00A, Potencia: 27.61W, Consumo (acumulado): 0.03kWh
17/11/2021 13:44:38,Tensao: 118.59V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:44:43,Tensao: 118.82V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:44:49,Tensao: 116.76V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:44:56,Tensao: 110.66V, Corrente (S1): 9.44A, Corrente (S2): 8.95A, Potencia: 2034.85W, Consumo (acumulado): 0.03kWh
17/11/2021 13:45:01,Tensao: 111.28V, Corrente (S1): 8.48A, Corrente (S2): 8.96A, Potencia: 1940.52W, Consumo (acumulado): 0.03kWh
17/11/2021 13:45:06,Tensao: 107.79V, Corrente (S1): 9.15A, Corrente (S2): 9.12A, Potencia: 1969.49W, Consumo (acumulado): 0.03kWh
